target,type,source
Poirot,undirected,agreed
agreed,undirected,thoughtfully
Poirot,undirected,approved
Poirot,undirected,asked
asked,undirected,sharply
asked,undirected,politely
Poirot,undirected,began
Poirot,undirected,confessed
Poirot,undirected,continued
Poirot,undirected,cried
cried,undirected,gaily
Poirot,undirected,declared
declared,undirected,gallantly
Poirot,undirected,sharp
Poirot,undirected,decisive
Poirot,undirected,inquired
inquired,undirected,innocently
Poirot,undirected,interposed
interposed,undirected,suddenly
Poirot,undirected,murmured
murmured,undirected,reflectively
murmured,undirected,softly
murmured,undirected,with a crestfallen air
Poirot,undirected,mused
Poirot,undirected,objected
Poirot,undirected,addressed
Poirot,undirected,appeared
Poirot,undirected,said
said,undirected,appreciatively
said,undirected,dryly
said,undirected,guardedly
said,undirected,gallantly
said,undirected,encouragingly
said,undirected,genially
said,undirected,gently
said,undirected,gravely
said,undirected,thoughtfully
Poirot,undirected,uncrossed
uncrossed,undirected,his knees gently
Poirot,undirected,greeted
Poirot,undirected,foresee
Poirot,undirected,hastened
Poirot,undirected,explain
Poirot,undirected,took the lead
Poirot,undirected,threatened
Poirot,undirected,entered
Poirot,undirected,exquisitely attired
Poirot,undirected,fancied
Poirot,undirected,fidgeted
Poirot,undirected,flung up
Poirot,uncrossed,unwrapped
Poirot,undirected,seemd restless
Poirot,undirected,arrested
Poirot,undirected,beamed
Poirot,undirected,nodded
Poirot,undirected,galvanized into activity
Poirot,undirected,bent forward
Poirot,undirected,broke
Poirot,undirected,compare
Poirot,undirected,coughed
Poirot,undirected,desires
Poirot,undirected,devote
Poirot,undirected,content
Poirot,undirected,smiled
smiled,undirected,gently
smiled,undirected,confidingly
Poirot,undirected,discuss
Poirot,undirected,drew together
Poirot,undirected,drew aside
Poirot,undirected,drew up
drew together,undirected,his brows 
Poirot,undirected,gave
gave,undirected,a sharp exclamation
gave,undirected,a little nod of approval
gave,undirected,advice
Poirot,undirected,glanced
Poirot,undirected,gazed
gazed,undirected,complacently
Poirot,undirected,interpolated
interpolated,undirected,gently
Poirot,undirected,introduced
Poirot,undirected,joined
Poirot,undirected,thought
Poirot,undirected,took advantage of 
Poirot,undirected,wagged
wagged,undirected,an emphatic forefinger
Poirot,undirected,watched
watched,undirected,in silence
Poirot,undirected,waved
waved,undirected,the apology aside
Poirot,undirected,shrugged
Poirot,undirected,prompted
Poirot,undirected,responded
Poirot,undirected,replied
replied,undirected,with insincere_sympathy
Poirot,undirected,suggested
Poirot,undirected,went on
went on,undirected,dreamily
Poirot,undirected,volunteered



















